,Unnamed: 0,title,author,genre,platform,story,rate,keywords
401,401,연애의,김호드,"스토리, 개그",네이버 웹툰,"남중·남고·공대·군대의 길을 걷는 자, 문오중. 그에게 뜬금없이 연애의 정령이 파견되는데...",9.95,"['공대', '군대', '남고', '연애', '남중']"
402,402,몽연,김종진,"스토리, 드라마",네이버 웹툰,꿈 속에서 만나는 첫사랑. 아내가... 날 의심한다.,9.78,"['아내', '의심', '첫사랑']"
403,403,허니버니,소금,"스토리, 로맨스",네이버 웹툰,토끼가 남자로 보이기 시작했다.,9.98,"['남자', '시작', '토끼']"
404,404,하늘쌤은,hemo,"스토리, 판타지",네이버 웹툰,"나더러 아이들을 가르치라고?!'
평범한 선생님의 평범하지 않은 이세계 평화 수업!",9.83,"['더러', '선생님', '세계', '수업', '아이']"
405,405,밥,오묘,"에피소드, 감성",네이버 웹툰,"이리 뛰고 저리 뛰고 깨지고 구르고. 
지칠대로 지친 주중을 보내고 나면 찾아오는 주말 힐링 타임. 
오묘 작가의 컷툰 신작!",9.97,"['대로', '신작', '오묘', '저리', '작가']"
406,406,창궐,황조윤 / 윤군,"스토리, 판타지",네이버 웹툰,"역병이 창궐했다.
야귀에게서 조선을 구하라!",9.63,"['구하라', '역병', '조선', '창궐']"
407,407,조선팔도,햄쥐주먹,"스토리, 로맨스",네이버 웹툰,"조선의 최강 아이돌이 되기 위한
전국 꽃미남 연습생들의 냉혹한 서바이벌!",9.94,"['돌이', '미남', '바이', '연습생', '아이']"
408,408,하나의,석우,"스토리, 로맨스",네이버 웹툰,인간소녀를 향한 늑대인간의 사랑,9.95,"['늑대', '사랑', '소녀', '인간']"
409,409,클로즈업,현재권 / 우박,"스토리, 드라마",네이버 웹툰,"※본 작품은 시리즈 오리지널 작품으로 네이버웹툰에서 듀얼연재됩니다.※
이혼 후 모든 일이 꼬이기만 하는 문화센터 사진강사 강민주와 이혼 후 모든 일이 잘 풀리는 돌싱남 사진작가 우민욱. 
그리고 방황하는 민주의 앞에 나타난 영화 촬영감독 하동현. 세 개의 렌즈 너머로 펼쳐지는 세 사람의 로맨스.",8.38,"['로맨스', '모든', '영화', '우민', '이혼']"
410,410,언원티드,둠스,"스토리, 드라마",네이버 웹툰,"전 세계 재벌 1위 강동구
찐따였던 고등학생 때로 돌아가다",9.83,"['강동구', '고등학생', '세계', '재벌']"
411,411,[드라마원작],정서,"스토리, 로맨스",네이버 웹툰,"""넌 내가 나비라는걸 알고 있잖아.""
알면서도 빠지고 싶은 사랑
&lt;투명한 동거&gt; 정서 작가의 신작",9.97,"['동거', '사랑', '신작', '정서', '작가']"
412,412,오직,상수,"스토리, 로맨스",네이버 웹툰,"인간이 된 강아지. 11년 전, 자신을 키워줬던 주인님을 만나다?",9.94,"['강아지', '인간', '자신', '주인']"
413,413,데우스,꼬마비,"에피소드, 드라마",네이버 웹툰,신은 어디에나 있다,9.93,['어디']
414,414,한국만화,웹툰작가,"에피소드, 일상",네이버 웹툰,"또 다른 만화를 제안하다
인디 웹툰 단편집",9.75,"['다른', '만화', '제안', '편집']"
415,415,고교생을,Croissant,"스토리, 드라마",네이버 웹툰,저승로맨스판타지 학원물이 온다!,9.98,"['로맨스', '물이', '저승', '학원', '판타지']"
416,416,미시령휴재,모코넛,"스토리, 스릴러",네이버 웹툰,"지옥이 되어버린 고개, 미시령. 
활을 들어, 이 고개에서 살아남아라.",9.93,"['고개', '미시령', '지옥']"
