,id,title,author,genre,story,platform,age,complete,thumbnail,web,rate,free
10,10,대디고라운드,희나리,"스토리, 드라마","승미는 어렸을 때 부모님이 이혼한 뒤 연락이 끊긴 아빠, 민석을 우연히 다시 만나게 된다.
그 동안 잊고 지냈던 아빠라는 사람에 대한 호기심 때문에 적극적으로 친해지려 노력하는 승미. 
하지만 새로 만난 아빠에게서 전형적인 아버지상은 찾아볼 수 없다. 
이런 저런 이유로 오해가 생기기도 하고 서운한 감정도 생기지만 왠지 아빠와 지내는 시간들이 즐겁고 행복하다.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/773640/thumbnail/thumbnail_IMAG06_7567e702-bbab-4f61-94b8-bea6ac46792e.jpg,https://comic.naver.com/webtoon/list?titleId=773640,8.27,2
11,11,도리내리,사영,"스토리, 로맨스","신선의 인간 제자 사화는 변신술을 다루는 귀(鬼)인 다루를 만난다.
그와의 만남을 통해 사화는 자신을 소망을 깨닫고 진정한 인간의 삶을 살고 싶다며 스승인 백화 신선에게 간청하고,
스승은 사화에게 일어날 어떤 일을 짐작하고 이를 허락한다.
때마침 황궁에서 인재를 뽑는다는 방이 마을에 붙고,
사화는 가온이라는 사내와 함께 섬을 벗어나 황궁으로 가는 배에 올라타는데….",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/773643/thumbnail/thumbnail_IMAG06_6b81a90a-5174-4754-b1cc-505bc4c99fc5.jpg,https://comic.naver.com/webtoon/list?titleId=773643,9.72,2
12,12,아내를,희나리,"스토리, 스릴러","친구와 술을 마신 후 곯아떨어진 ‘정호’는 숙취로 눈을 뜬 다음 날 아침,
 별거 중이던 아내 ‘미영’이 살해당했다는 충격적인 소식을 듣게 된다. 
그 순간, 자신의 옷에 묻은 핏자국과 피 묻은 칼을 발견한 ‘정호’.
 가장 강력한 용의자로 지목된 그는 경찰의 눈을 피해 도망친다.
알리바이를 입증하고 싶지만 전날의 술로 인해 필름이 끊겨 있는 정호는, 
부분부분 떠오르는 기억의 조각들을 붙잡고, 또 어젯밤같이 술을 마신 친구를 
비롯한 다른 주변 인물들의 진술을 토대로 자신의 어제 행방을 추적하면서 무죄를 입증하려 한다. 
그런데 자신의 기억과 주변의 이야기들을 조각조각 맞추다 보니 
정말 내가 아내를 죽였을지도 모른다 라는 생각에 이르게 된다.  
&lt;아내를 죽였다&gt;는 숙취 가득한 정호가 누명을 벗기 위해 또한 
아내의 죽음을 둘러싼 진실을 파헤치기 위해 죽을 힘을 다하는 하루 동안의 현재 이야기와 
정호와 아내 미영이 별거까지 갈 수 밖에 없었던 그의 어두운 과거 이야기가 두 개의 축으로 엮이면서 
이 사건의 진실에 접근해가는 구성으로 끝까지 긴장감을 유지하며 충격적인 결말까지 이어진다. 
2019년 이시언 주연의 영화로 개봉, 호평을 받았다.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/772005/thumbnail/thumbnail_IMAG06_c23c5040-93e7-471b-9754-f2f93e0fb5a6.jpg,https://comic.naver.com/webtoon/list?titleId=772005,9.41,2
13,13,오늘또오늘,희나리,"스토리, 드라마","헤어진 여자친구로부터 넘겨받은 부채로 인해 하루 아침에 완전히 꼬이는 인생을 살게 되는 용수.
사채업자의 압력에서 벗어나고자 고군분투하던 중, 마침 찾아온 장마철.
용수는 수재민 모금 비디오를 찍어 일확천금을 꿈꾼다.
친구 진태와 사채업자 봉팔까지 합세하여 이 새로운 사업에 매진하게 된다.
처음엔 잘 나가는 듯해 보이던 이 사업은, 장마가 그침으로써 망하게 되고, 
용수들은 더 큰 빚더미에 앉게 된다.

그 뒤로 새로운 모금 아이템을 찾아 계속적인 모금 비디오를 만들지만 
양심의 가책과 경찰 수사망에 쫓기는 신세가 되어 버린 용수들.
그 속에서 그의 진심을 알아주는 단 한 명의 여자, 정아와의 로맨스.
그러나, 결국 용수들은 그들의 무거운 양심의 짐을 벗고 참회하는 방법을 택하게 된다.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/773642/thumbnail/thumbnail_IMAG06_712f8564-1453-4662-96be-7767706e49ff.jpg,https://comic.naver.com/webtoon/list?titleId=773642,9.07,2
14,14,토끼대왕,김숭늉,"스토리, 스릴러","살인마 교생, 왕따를 구원하다.",네이버 웹툰,18,1,https://shared-comic.pstatic.net/thumb/webtoon/742826/thumbnail/thumbnail_IMAG06_56b8a37c-93c4-4db5-9946-a96f6067cded.jpg,https://comic.naver.com/webtoon/list?titleId=742826,9.92,1
15,15,복학생,한짜장,"스토리, 드라마","22살 정순이가 춘장 고등학교에 복학을 한다. 
무덤덤한 자연인 순이에게 관심을 보이는 중2병 친구들. 
과연 순이는 고등학교를 무사히 마무리할 수 있을까?",네이버 웹툰,12,1,https://shared-comic.pstatic.net/thumb/webtoon/735243/thumbnail/thumbnail_IMAG06_188eb47c-0c03-4164-8f99-09fa0474948a.jpg,https://comic.naver.com/webtoon/list?titleId=735243,9.96,1
16,16,살人스타그램,령,"옴니버스, 스릴러","[SNS 잔혹 스릴러 시즌2]
귀신마피아게임에 초대되었습니다.
플레이어 중에 사람을 죽이는 귀신이 숨어있습니다. 누구일까요? 투표를 시작하겠습니다. 5,4,3,2...1.",네이버 웹툰,18,1,https://shared-comic.pstatic.net/thumb/webtoon/726095/thumbnail/thumbnail_IMAG06_61503b0e-4f1b-4b52-bca4-486f1b567ea9.jpg,https://comic.naver.com/webtoon/list?titleId=726095,9.61,1
17,17,당신의,호우,"옴니버스, 드라마","향기를 타고 잊지 못하는 순간으로 다시 한 번 돌아갈 수 있다면? 
그리운 순간의 향기를 향수로 만드는 조향사 J와 그 향기에 이끌려 찾아오는 손님들의 이야기. 당신의 향수.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/741150/thumbnail/thumbnail_IMAG06_2a45b933-b081-4191-8696-ef6b37c00920.jpg,https://comic.naver.com/webtoon/list?titleId=741150,9.98,1
18,18,스몰,을승,"스토리, 로맨스","네 앞에 서면 왜 난 자꾸...♡
좋아하는 이성과 함께 있으면 
자꾸만 작아지는 것 같은 기분, 한 번쯤 다들 경험해 봤지? 
문제는 정말 몸까지 줄어든다구!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/745236/thumbnail/thumbnail_IMAG06_71142cf6-f23b-4567-a088-143fe375a4ec.jpg,https://comic.naver.com/webtoon/list?titleId=745236,9.93,1
19,19,도를,이건 / 요엘,"스토리, 판타지","전래동화가 이렇게 꼬인다고? 제대로 약빤(?) 동화가 시작된다!
전우치의 장손, 전우진의 신입 도사 도전기",네이버 웹툰,12,1,https://shared-comic.pstatic.net/thumb/webtoon/747666/thumbnail/thumbnail_IMAG06_4a42e7f5-6dc3-443d-b394-7a59f9a0efdc.jpg,https://comic.naver.com/webtoon/list?titleId=747666,9.9,1
