,id,title,author,genre,platform,story,age,rate,complete,free,thumbnail,website
206,206,비밀스러운 짝사랑,정,로맨스,레진코믹스,"짝사랑하고 있는 상대가 나를 짝사랑할 확률을 얼마나 될까? 1년을 바라만 보며 세연을 짝사랑한 진선, 그리고 그런 진선을 남몰래 짝사랑하던 세연. 서로의 환상 때문일까, 접점이 생길수록 애정과 함께 오해도 쌓여가는데...! 이...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6222637011828736/images/tall.webp?updated=1621998422401&width=214,https://www.lezhin.com/ko/comic/secretmylove
207,207,하나군과 사랑하는 나,쿠마오카 후유,로맨스,레진코믹스,"우등생에 학급반장이지만 살짝 맹한 구석이 있는 나나세는, 어느 날 폭력사건을 일으켜 정학을 당하고, 격리교실에서 따로 수업 중인 하나 군과 마주친다. 무슨 일인지 수업마저 땡땡이 치고 사라지는 하나 군. ‘무서운 사람은...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5944637150855168/images/tall.webp?updated=1528254011609&width=214,https://www.lezhin.com/ko/comic/hanakun
208,208,못난이에게 꽃다발을,사쿠라 로쿠,로맨스,레진코믹스,"못난이라도 귀엽다구─!! 읽다보면 어느 새 응원하는 마음이 생기는 신개념 스쿨 러브코미디♪ 힘내렴, 하나!! 타바타 하나는 볼품없는 외모와 부정적인 사고방식을 가진 외톨이 고교생. 그런 하나가 아침 일찍 교실에서 만화 속 여주인공...",0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5162568727724032/images/tall.webp?updated=1626415009741&width=214,https://www.lezhin.com/ko/comic/bouquet
209,209,하나노이 군과 상사병,모리노 메구미,로맨스,레진코믹스,"“언젠가 나도 사랑을 할 수 있을까…?” 고등학교 1학년 겨울, 별 생각 없이 우산을 빌려준 걸 계기로 옆 반의 하나노이에게 갑자기 고백을 받은 히나세 호타루. 좋아하는 애를 위해서라면 뭐든 해주고 싶은...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6743980095111168/images/tall.webp?updated=1591235164140&width=214,https://www.lezhin.com/ko/comic/hananoi
210,210,다정한 공작님의 비밀 [연재],서쥬,로맨스,레진코믹스,"""도와 줘, 시온!"" 귀족가의 양녀이자 수인으로, 모두에게 구박 받는 ‘노엘 미세리아‘. 노엘은 어느 날 아버지의 무시무시한 계획을 엿듣는다. 단 하나뿐인 비밀 친구 시온에게 도와 달라는 요청을 한 그날 밤……. 정신을...",0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5295824846520320/images/tall.webp?updated=1627525583447&width=214,https://www.lezhin.com/ko/comic/dukes_secret
211,211,아디오스 에이프릴 [연재],혜빈,로맨스,레진코믹스,"신의 축복과 마법 그리고 과학이 함께 공존하는 시대, 그곳에서 벌어지는 아련하고도 사랑스러운 이야기― 가난하지만 언니가 있어 외롭지 않았던 소녀는 언니의 죽음과 함께 홀로 세상에 버려지게 된다. 돈 몇 푼에 팔려...",0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6162435047555072/images/tall.webp?updated=1610940745400&width=214,https://www.lezhin.com/ko/comic/adios_april
212,212,깊은 곡선,"김상이, 비아이",로맨스,레진코믹스,애증이 교차하는 두 남녀의 눈빛. 냉정함 속에 감춰진 욕망이 가슴을 뒤흔든다. 비아이 작가의 신작 로맨스.,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/140/images/tall.webp?updated=1520223401434&width=214,https://www.lezhin.com/ko/comic/curve
213,213,네가 쏟아지다,이준표,로맨스,레진코믹스,로 인해 청소년들이 사랑을 못 느끼는 세상. 부모의 싸움을 보며 자란 '이도'는 세상에 감사하며 성인이 되지 않기를 바란다. 그런데 왜... 관심도 없던 전학생의 우는 얼굴이 자꾸만 떠오르는 걸까? 사랑을 혐오했던...,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/4706278361923584/images/tall.webp?updated=1575531394406&width=214,https://www.lezhin.com/ko/comic/love_is_pouring_in
214,214,러브 인 디 오션,Extreme Culture,로맨스,레진코믹스,"방학을 맞아 사이판에 여행을 온 하윤과 지유. 스쿠버 다이빙 마니아였던 하윤은 현지에서 파트너를 찾아 함께 스쿠버 다이빙을 한다. 그런데 그만 강한 파도에 휩쓸리고, 의도치 않게 위험에 처한 낯선 남자를 구하게...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6643113448767488/images/tall.webp?updated=1605166413354&width=214,https://www.lezhin.com/ko/comic/love_in_the_ocean
215,215,러브 팬텀,미츠키 카코,로맨스,레진코믹스,연애를 해본 적 없는 23세의 여주인공과 업무적으로도 사적으로도 멋지고 매너 있는 38세의 남주인공이 펼치는 아름다운 사랑이야기가 독자들의 관심을 모은다. 덜렁대는 성격의 여주인공과 냉정하고 스마트한 남주인공이 서로를 변화시켜가는 사랑 이야기에 독자들의...,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6293771251220480/images/tall.webp?updated=1553137201144&width=214,https://www.lezhin.com/ko/comic/love_phantom
